timestamp,open,high,low,close,volume
2025-01-13 19:59:00,235.45,235.45,235.22,235.45,692
2025-01-13 19:58:00,235.22,235.45,235.22,235.335,392
2025-01-13 19:57:00,235.35,235.355,235.2212,235.355,393
2025-01-13 19:56:00,235.4153,235.49,235.25,235.29,794
2025-01-13 19:55:00,235.37,235.49,235.34,235.35,251
2025-01-13 19:54:00,235.36,235.4899,235.22,235.42,145
2025-01-13 19:53:00,235.355,235.49,235.22,235.36,70
2025-01-13 19:52:00,235.36,235.49,235.22,235.42,150
2025-01-13 19:51:00,235.4899,235.49,235.2212,235.2212,55
2025-01-13 19:50:00,235.355,235.49,235.22,235.355,305
2025-01-13 19:49:00,235.4999,235.5,235.36,235.36,325
2025-01-13 19:48:00,235.4,235.4,235.25,235.36,58
2025-01-13 19:47:00,235.295,235.31,235.22,235.31,475
2025-01-13 19:46:00,235.295,235.3,235.29,235.295,75
2025-01-13 19:45:00,235.2986,235.3,235.22,235.29,62
2025-01-13 19:44:00,235.26,235.3,235.22,235.26,463
2025-01-13 19:43:00,235.26,235.3,235.25,235.26,68
2025-01-13 19:42:00,235.265,235.3,235.23,235.26,234
2025-01-13 19:41:00,235.265,235.3,235.23,235.265,165
2025-01-13 19:40:00,235.3,235.3,235.23,235.265,35
2025-01-13 19:39:00,235.28,235.3,235.265,235.3,39
2025-01-13 19:38:00,235.3,235.3,235.28,235.28,553
2025-01-13 19:37:00,235.27,235.38,235.265,235.265,742
2025-01-13 19:36:00,235.32,235.38,235.31,235.35,643
2025-01-13 19:35:00,235.3899,235.3899,235.32,235.38,223
2025-01-13 19:34:00,235.355,235.355,235.3212,235.355,30
2025-01-13 19:33:00,235.355,235.39,235.32,235.32,61
2025-01-13 19:32:00,235.355,235.39,235.35,235.35,23
2025-01-13 19:31:00,235.4,235.445,235.322,235.355,627
2025-01-13 19:30:00,235.375,235.445,235.35,235.445,341
2025-01-13 19:29:00,235.4,235.4,235.35,235.35,159
2025-01-13 19:28:00,235.3875,235.45,235.35,235.375,277
2025-01-13 19:27:00,235.52,235.54,235.27,235.54,214
2025-01-13 19:26:00,235.4,235.54,235.4,235.405,56
2025-01-13 19:25:00,235.41,235.41,235.24,235.4,34
